ID,Brand,Category,Color,Price,Size,Material
1,123,Dress,White,182,XS,
2,,Jeans,Black,57,XS,Silk
3,Under Armour,,Red,omer,,Wool
4,Nike,Shoes,,77,M,Cotton
5,Adidas,Sweater,White,,M,
6,,Jacket,,19,,Nylon
7,Puma,Jacket,Red,31,XXL,Polyester
8,Adidas,,Red,46,XS,Denim
9,,Dress,Black,97,S,
10,Adidas,Jeans,Yellow,80,L,Wool
11,Nike,,White,,XL,Silk
12,Puma,Jacket,,150,,
13,365,Jacket,White,68,S,Nylon
14,Under Armour,,Blue,,XL,Polyester
15,,Jacket,Green,97,S,Nylon
16,Under Armour,Jacket,,184,XXL,
17,,,Red,98,,Cotton
18,Reebok,Shoes,Blue,91,XS,
19,Adidas,,Yellow,yair,XL,Denim
20,789,Shoes,Blue,35,XL,Wool
21,Puma,Sweater,,87,L,Cotton
22,,Jeans,Green,,,
23,Reebok,Jacket,Black,19,L,Denim
24,Puma,,Red,,XXL,Wool
25,,Jacket,Black,125,L,Denim
26,Adidas,,White,89,,
27,Adidas,Dress,Green,shoni,L,Polyester
28,,Shoes,Blue,92,M,Cotton
29,Adidas,T-shirt,,109,XS,Denim
30,Reebok,Sweater,Yellow,187,S,Denim
31,,,Yellow,,XL,Nylon
32,356,T-shirt,Blue,157,M,Wool
33,Reebok,Jeans,,157,M,
34,,Shoes,Black,152,M,Cotton
35,Under Armour,,Red,177,XL,Polyester
36,Puma,Sweater,White,,M,Polyester
37,,Jeans,,19,M,Wool
38,Under Armour,Shoes,Black,195,XL,
39,Nike,Dress,Yellow,137,XS,Silk
40,,,Yellow,42,XXL,Polyester
41,Adidas,Jacket,Yellow,,M,Silk
42,,Shoes,White,161,S,Nylon
43,Adidas,Jacket,,173,,Nylon
44,New Balance,Shoes,Blue,124,XL,
45,Adidas,,Black,,XS,Wool
46,Nike,Jacket,Black,38,XS,Silk
47,,Dress,Red,44,L,
48,Under Armour,Shoes,,eliya,XL,Silk
49,Nike,,White,138,XS,Silk
50,,Shoes,Black,174,,
51,Under Armour,Jacket,,63,XXL,Cotton
52,Puma,,Green,143,M,Nylon
53,Puma,Shoes,Yellow,48,XL,Cotton
54,New Balance,Jacket,White,,XS,Silk
55,,Jacket,,89,XL,
56,New Balance,Sweater,Black,142,L,Nylon
57,Adidas,,Blue,shaked,XXL,Wool
58,,Sweater,Red,52,L,Nylon
59,Reebok,T-shirt,,,L,Wool
60,,Jacket,Green,41,XXL,Silk
61,Adidas,,Green,130,XXL,Cotton
62,Under Armour,Jacket,,11,,
63,New Balance,Jacket,Red,75,XL,Cotton
64,Adidas,Sweater,Green,meir,XS,Denim
65,,Jacket,White,67,,Cotton
66,Under Armour,Dress,Black,,S,Cotton
67,108,T-shirt,,112,M,
68,Puma,Jeans,Blue,129,XXL,Silk
69,,Shoes,White,21,L,Cotton
70,Under Armour,,Blue,184,,
71,Reebok,Sweater,White,,XS,Cotton
72,,Shoes,Green,101,XXL,Wool
73,Reebok,T-shirt,Yellow,138,XXL,Silk
74,New Balance,T-shirt,Yellow,152,XL,Wool
75,Under Armour,,Yellow,,,Cotton
76,,Sweater,White,63,XS,Silk
77,New Balance,Dress,Yellow,150,XS,Silk
78,Under Armour,,Red,131,XXL,
79,Puma,Shoes,,180,L,Nylon
80,Adidas,Jeans,White,,L,Polyester
81,,,Yellow,78,XS,Polyester
82,Under Armour,Dress,Blue,16,L,Cotton
83,New Balance,,White,57,XXL,
84,New Balance,Shoes,,137,S,Silk
85,Under Armour,Jacket,White,141,,Nylon
86,Adidas,Dress,Red,110,XL,Polyester
87,,,Green,190,L,
88,Nike,Shoes,,88,L,Nylon
89,Reebok,Jeans,Blue,,L,Wool
90,Under Armour,Sweater,Blue,158,XS,Cotton
91,Under Armour,Jacket,White,196,XXL,Silk
92,,Jeans,Red,33,XXL,
