ID,Brand,Category,Color,Price,Size,Material
2,Under Armour,Jeans,Black,57.0,XS,Silk
4,Nike,Shoes,Red,77.0,M,Cotton
5,Adidas,Sweater,White,105.28625472887768,M,Silk
6,Under Armour,Jacket,Red,19.0,XS,Nylon
7,Puma,Jacket,Red,31.0,XXL,Polyester
8,Adidas,Jacket,Red,46.0,XS,Denim
9,Under Armour,Dress,Black,97.0,S,Silk
10,Adidas,Jeans,Yellow,80.0,L,Wool
11,Nike,Jacket,White,105.28625472887768,XL,Silk
12,Puma,Jacket,Red,150.0,XS,Silk
14,Under Armour,Jacket,Blue,105.28625472887768,XL,Polyester
15,Under Armour,Jacket,Green,97.0,S,Nylon
16,Under Armour,Jacket,Red,184.0,XXL,Silk
17,Under Armour,Jacket,Red,98.0,XS,Cotton
18,Reebok,Shoes,Blue,91.0,XS,Silk
21,Puma,Sweater,Red,87.0,L,Cotton
22,Under Armour,Jeans,Green,105.28625472887768,XS,Silk
23,Reebok,Jacket,Black,19.0,L,Denim
24,Puma,Jacket,Red,105.28625472887768,XXL,Wool
25,Under Armour,Jacket,Black,125.0,L,Denim
26,Adidas,Jacket,White,89.0,XS,Silk
28,Under Armour,Shoes,Blue,92.0,M,Cotton
29,Adidas,T-shirt,Red,109.0,XS,Denim
30,Reebok,Sweater,Yellow,187.0,S,Denim
31,Under Armour,Jacket,Yellow,105.28625472887768,XL,Nylon
33,Reebok,Jeans,Red,157.0,M,Silk
34,Under Armour,Shoes,Black,152.0,M,Cotton
35,Under Armour,Jacket,Red,177.0,XL,Polyester
36,Puma,Sweater,White,105.28625472887768,M,Polyester
37,Under Armour,Jeans,Red,19.0,M,Wool
38,Under Armour,Shoes,Black,195.0,XL,Silk
39,Nike,Dress,Yellow,137.0,XS,Silk
40,Under Armour,Jacket,Yellow,42.0,XXL,Polyester
41,Adidas,Jacket,Yellow,105.28625472887768,M,Silk
42,Under Armour,Shoes,White,161.0,S,Nylon
43,Adidas,Jacket,Red,173.0,XS,Nylon
44,New Balance,Shoes,Blue,124.0,XL,Silk
45,Adidas,Jacket,Black,105.28625472887768,XS,Wool
46,Nike,Jacket,Black,38.0,XS,Silk
47,Under Armour,Dress,Red,44.0,L,Silk
49,Nike,Jacket,White,138.0,XS,Silk
50,Under Armour,Shoes,Black,174.0,XS,Silk
51,Under Armour,Jacket,Red,63.0,XXL,Cotton
52,Puma,Jacket,Green,143.0,M,Nylon
53,Puma,Shoes,Yellow,48.0,XL,Cotton
54,New Balance,Jacket,White,105.28625472887768,XS,Silk
55,Under Armour,Jacket,Red,89.0,XL,Silk
56,New Balance,Sweater,Black,142.0,L,Nylon
58,Under Armour,Sweater,Red,52.0,L,Nylon
59,Reebok,T-shirt,Red,105.28625472887768,L,Wool
60,Under Armour,Jacket,Green,41.0,XXL,Silk
61,Adidas,Jacket,Green,130.0,XXL,Cotton
62,Under Armour,Jacket,Red,11.0,XS,Silk
63,New Balance,Jacket,Red,75.0,XL,Cotton
65,Under Armour,Jacket,White,67.0,XS,Cotton
66,Under Armour,Dress,Black,105.28625472887768,S,Cotton
68,Puma,Jeans,Blue,129.0,XXL,Silk
69,Under Armour,Shoes,White,21.0,L,Cotton
70,Under Armour,Jacket,Blue,184.0,XS,Silk
71,Reebok,Sweater,White,105.28625472887768,XS,Cotton
72,Under Armour,Shoes,Green,101.0,XXL,Wool
73,Reebok,T-shirt,Yellow,138.0,XXL,Silk
74,New Balance,T-shirt,Yellow,152.0,XL,Wool
75,Under Armour,Jacket,Yellow,105.28625472887768,XS,Cotton
76,Under Armour,Sweater,White,63.0,XS,Silk
77,New Balance,Dress,Yellow,150.0,XS,Silk
78,Under Armour,Jacket,Red,131.0,XXL,Silk
79,Puma,Shoes,Red,180.0,L,Nylon
80,Adidas,Jeans,White,105.28625472887768,L,Polyester
81,Under Armour,Jacket,Yellow,78.0,XS,Polyester
82,Under Armour,Dress,Blue,16.0,L,Cotton
83,New Balance,Jacket,White,57.0,XXL,Silk
84,New Balance,Shoes,Red,137.0,S,Silk
85,Under Armour,Jacket,White,141.0,XS,Nylon
86,Adidas,Dress,Red,110.0,XL,Polyester
87,Under Armour,Jacket,Green,190.0,L,Silk
88,Nike,Shoes,Red,88.0,L,Nylon
89,Reebok,Jeans,Blue,105.28625472887768,L,Wool
90,Under Armour,Sweater,Blue,158.0,XS,Cotton
91,Under Armour,Jacket,White,196.0,XXL,Silk
92,Under Armour,Jeans,Red,33.0,XXL,Silk
93,Puma,Jacket,Blue,151.0,S,Nylon
94,New Balance,Jeans,Red,105.28625472887768,XS,Wool
95,Reebok,Dress,Red,95.0,L,Denim
96,Nike,Jacket,Yellow,58.0,S,Silk
97,New Balance,Jacket,Yellow,59.0,S,Wool
98,Nike,Sweater,Red,79.0,XS,Cotton
99,Under Armour,Jeans,Black,179.0,L,Polyester
100,Nike,Jacket,Green,173.0,S,Silk
101,Puma,Jacket,Blue,105.0,XS,Cotton
102,Under Armour,Shoes,Red,105.28625472887768,L,Nylon
103,Under Armour,Jeans,Green,10.0,XXL,Nylon
104,New Balance,Sweater,Red,123.0,M,Denim
105,Under Armour,Sweater,Black,188.0,XS,Wool
106,Adidas,Jeans,Red,105.28625472887768,L,Silk
107,Under Armour,Sweater,Green,172.0,XXL,Wool
108,Under Armour,Jacket,Black,58.0,XS,Denim
109,Nike,Sweater,Blue,103.0,XS,Wool
110,New Balance,Jacket,Green,141.0,XL,Silk
111,Reebok,Dress,Red,108.0,XS,Denim
112,Under Armour,T-shirt,Red,52.0,XS,Silk
113,New Balance,Shoes,Blue,122.0,XS,Wool
114,Adidas,Jacket,Red,105.28625472887768,M,Nylon
115,Reebok,Jeans,Black,137.0,XL,Polyester
116,Under Armour,Jeans,Yellow,10.0,XS,Silk
117,Adidas,Jeans,White,105.28625472887768,XXL,Polyester
118,Under Armour,Jeans,Blue,124.0,XS,Silk
119,Puma,Sweater,Yellow,53.0,M,Silk
120,New Balance,T-shirt,Green,196.0,XL,Cotton
121,Puma,Jeans,Red,105.28625472887768,XXL,Cotton
122,Under Armour,Jacket,Red,33.0,XS,Wool
123,Nike,Sweater,White,197.0,XS,Polyester
124,Adidas,T-shirt,Red,140.0,L,Silk
125,Nike,Shoes,White,105.28625472887768,XL,Wool
126,Under Armour,Sweater,Blue,108.0,XXL,Wool
127,Adidas,Jacket,Red,72.0,XS,Silk
128,Reebok,Jacket,Blue,173.0,XS,Denim
129,Nike,Dress,Red,105.28625472887768,XS,Nylon
130,Nike,Shoes,Yellow,92.0,XS,Polyester
131,New Balance,T-shirt,Red,184.0,L,Silk
132,Under Armour,Sweater,Red,158.0,XXL,Wool
133,Under Armour,T-shirt,Green,60.0,L,Silk
134,Puma,Jacket,Black,165.0,XS,Cotton
135,Nike,Dress,Green,24.0,XL,Nylon
136,Reebok,Shoes,Red,51.0,M,Denim
137,Under Armour,Sweater,White,68.0,XL,Silk
138,New Balance,Jacket,Yellow,105.28625472887768,XS,Wool
139,Under Armour,Jacket,Red,20.0,S,Nylon
140,Under Armour,Dress,Green,96.0,XL,Silk
141,Under Armour,Jacket,Black,105.28625472887768,XS,Nylon
142,Reebok,T-shirt,Black,114.0,XXL,Silk
143,New Balance,Jacket,Red,105.28625472887768,XXL,Silk
144,Puma,Jacket,Black,12.0,XXL,Cotton
145,Under Armour,Jacket,Blue,61.0,XS,Silk
146,Adidas,T-shirt,White,90.0,S,Polyester
147,Nike,Jacket,Red,105.28625472887768,XS,Denim
148,Under Armour,Jacket,Red,192.0,M,Wool
149,Under Armour,Jacket,White,138.0,L,Silk
150,Nike,Jacket,Yellow,48.0,XS,Cotton
151,Nike,Dress,Yellow,29.0,XL,Silk
152,Adidas,Jacket,Red,184.0,XXL,Nylon
153,Under Armour,Jeans,Blue,52.0,S,Silk
154,Nike,Dress,Red,125.0,XXL,Nylon
155,Under Armour,Shoes,Black,105.28625472887768,XS,Silk
156,Under Armour,Jacket,Black,198.0,S,Silk
157,Puma,Jeans,Red,87.0,M,Wool
158,Puma,Jeans,Yellow,105.28625472887768,XL,Silk
161,Under Armour,Jacket,Black,12.0,L,Nylon
162,Nike,T-shirt,Yellow,13.0,S,Silk
163,Under Armour,Shoes,Red,104.0,XS,Polyester
164,Puma,Sweater,Green,105.28625472887768,M,Cotton
165,Nike,Sweater,Yellow,23.0,XS,Silk
166,Reebok,Jacket,Red,122.0,XS,Polyester
167,New Balance,Jacket,Red,50.0,XS,Denim
168,Under Armour,Shoes,Yellow,105.28625472887768,M,Wool
169,Reebok,T-shirt,Green,29.0,S,Silk
170,Reebok,Jacket,Red,105.0,XS,Silk
171,Under Armour,Shoes,Red,82.0,XL,Denim
172,Under Armour,Jacket,Green,105.28625472887768,S,Silk
173,Under Armour,Dress,Red,190.0,S,Nylon
174,Reebok,Jacket,Green,77.0,XS,Wool
175,New Balance,Jacket,Red,105.28625472887768,XL,Silk
176,Under Armour,Sweater,Red,24.0,S,Silk
177,New Balance,Jacket,Black,106.0,L,Nylon
179,Puma,T-shirt,Yellow,149.0,XXL,Polyester
180,Reebok,Shoes,Red,105.28625472887768,L,Denim
181,Reebok,Jeans,Green,131.0,XXL,Silk
182,Adidas,Jeans,Yellow,119.0,S,Silk
183,Under Armour,Jeans,Black,105.28625472887768,XS,Cotton
184,Adidas,Jacket,Green,194.0,XS,Polyester
185,Adidas,Jeans,Green,26.0,XL,Silk
186,Under Armour,Sweater,White,162.0,XXL,Denim
187,Adidas,Jacket,Black,105.28625472887768,XS,Polyester
188,Puma,Shoes,Red,159.0,XL,Wool
190,Under Armour,Dress,Red,35.0,M,Silk
191,Adidas,Jacket,Blue,198.0,XS,Denim
192,Reebok,Jacket,Red,131.0,M,Cotton
193,Nike,Dress,Blue,105.28625472887768,S,Silk
194,Under Armour,T-shirt,Green,127.0,S,Polyester
195,Puma,Jacket,White,199.0,XL,Cotton
196,Puma,Sweater,Red,93.0,XS,Nylon
197,Nike,Dress,Blue,105.28625472887768,XS,Denim
198,New Balance,Jacket,White,114.0,L,Wool
199,Under Armour,Sweater,White,170.0,M,Silk
200,New Balance,T-shirt,Red,131.0,XXL,Nylon
201,Nike,T-shirt,Black,105.28625472887768,M,Wool
202,Puma,T-shirt,Black,41.0,S,Silk
203,Reebok,Sweater,Blue,23.0,S,Wool
204,Under Armour,Shoes,Red,81.0,M,Wool
205,Adidas,Dress,White,194.0,L,Silk
206,Adidas,Dress,White,162.0,S,Polyester
207,Under Armour,Shoes,Black,89.0,S,Cotton
208,Under Armour,Jacket,Blue,51.0,XXL,Wool
209,Nike,Jeans,Blue,28.0,L,Polyester
210,Puma,Shoes,Yellow,50.0,XXL,Nylon
211,Reebok,Jacket,Red,192.0,XXL,Denim
212,Adidas,Dress,Red,21.0,XL,Silk
213,Under Armour,Shoes,Blue,105.28625472887768,M,Silk
214,New Balance,Jacket,Yellow,121.0,XS,Silk
215,New Balance,Jeans,White,103.0,XS,Polyester
216,Under Armour,Jacket,Red,139.0,XS,Nylon
217,Under Armour,Jacket,Blue,105.28625472887768,XS,Polyester
218,Under Armour,Jacket,Black,54.0,XS,Silk
219,New Balance,T-shirt,Green,135.0,XL,Silk
220,Reebok,T-shirt,Black,34.0,M,Polyester
221,Under Armour,Jacket,Red,77.0,XS,Cotton
222,Reebok,T-shirt,Red,13.0,XS,Wool
223,Adidas,Jacket,Black,105.28625472887768,L,Wool
224,Nike,Jeans,White,199.0,XS,Cotton
225,Under Armour,Jacket,Red,53.0,XL,Nylon
226,Adidas,Jeans,Yellow,42.0,XS,Silk
227,Nike,Jacket,Red,21.0,L,Denim
228,Under Armour,Jacket,Red,114.0,XS,Wool
229,Under Armour,Sweater,Red,148.0,XL,Nylon
230,Puma,Jacket,Red,192.0,XS,Silk
231,Nike,Shoes,White,105.28625472887768,XS,Silk
232,Adidas,Shoes,Black,135.0,L,Cotton
233,Under Armour,Jacket,Yellow,166.0,XL,Wool
234,Adidas,Jacket,Red,121.0,M,Silk
235,Under Armour,Jacket,Green,105.28625472887768,XS,Silk
236,Under Armour,Shoes,Red,37.0,M,Denim
237,New Balance,Dress,Blue,161.0,M,Silk
238,Under Armour,Jeans,Yellow,105.28625472887768,XS,Polyester
239,Under Armour,Jacket,Red,61.0,M,Nylon
240,Puma,Shoes,Red,184.0,XL,Silk
241,Reebok,Dress,White,105.28625472887768,L,Silk
242,Under Armour,Sweater,Yellow,191.0,M,Denim
243,Puma,Jacket,Black,39.0,S,Silk
244,Reebok,Jacket,Yellow,77.0,XS,Cotton
245,Nike,Jacket,Red,45.0,S,Wool
246,Adidas,Jacket,Blue,49.0,XS,Silk
247,Under Armour,Shoes,Green,105.28625472887768,M,Silk
248,New Balance,Jacket,Green,83.0,S,Cotton
249,Under Armour,Shoes,Red,51.0,XS,Wool
250,Under Armour,Shoes,Yellow,161.0,XL,Silk
251,Under Armour,Dress,Yellow,141.0,L,Silk
252,Nike,Jacket,Green,56.0,XS,Polyester
253,Nike,Jacket,Red,105.28625472887768,L,Silk
254,Under Armour,Shoes,White,118.0,XS,Silk
255,Reebok,T-shirt,Yellow,13.0,XL,Silk
256,Puma,Jacket,Red,105.28625472887768,XXL,Wool
257,Puma,Jeans,Black,19.0,S,Silk
258,Adidas,Jacket,Yellow,148.0,XS,Wool
259,Under Armour,Dress,Blue,105.28625472887768,L,Silk
260,Under Armour,Jeans,Red,183.0,M,Silk
261,Nike,Jacket,Green,177.0,XS,Wool
262,Under Armour,Dress,Blue,71.0,S,Polyester
263,Reebok,T-shirt,Green,95.0,XS,Nylon
264,Reebok,Jacket,Red,107.0,XS,Cotton
265,Under Armour,Jacket,Blue,54.0,XXL,Silk
266,Reebok,Jacket,Red,44.0,L,Denim
267,Under Armour,Sweater,Red,105.28625472887768,S,Denim
268,Under Armour,Jacket,Blue,98.0,M,Silk
269,Under Armour,Sweater,White,43.0,L,Wool
270,Nike,Jeans,Yellow,143.0,XS,Wool
271,Nike,Sweater,Red,105.28625472887768,XL,Polyester
272,Reebok,Shoes,Green,10.0,XXL,Cotton
273,Under Armour,Jacket,Black,44.0,S,Silk
274,Reebok,Jacket,Red,136.0,XS,Denim
275,New Balance,Jacket,Red,191.0,XS,Cotton
276,New Balance,T-shirt,White,90.0,XXL,Cotton
277,Under Armour,Jacket,White,146.0,S,Nylon
278,Puma,Dress,Yellow,105.28625472887768,XS,Silk
279,Reebok,Jeans,Red,139.0,XS,Polyester
280,Reebok,Dress,Red,122.0,XS,Polyester
281,Adidas,Jeans,Red,45.0,M,Denim
282,Under Armour,Jacket,Black,105.28625472887768,L,Silk
283,Nike,Jacket,Red,101.0,XS,Polyester
284,Reebok,Jacket,Yellow,105.28625472887768,XL,Wool
285,Adidas,Jeans,Red,105.28625472887768,XS,Wool
286,Reebok,Jacket,Yellow,46.0,XS,Polyester
287,Nike,T-shirt,Red,186.0,XS,Silk
289,New Balance,Jacket,Black,77.0,XS,Silk
290,New Balance,Jacket,Blue,113.0,XXL,Silk
291,Under Armour,T-shirt,Black,105.28625472887768,XXL,Silk
292,Nike,Shoes,Red,124.0,S,Cotton
294,Adidas,Jeans,White,39.0,XS,Silk
